level, duration, hits, total_ducks, score, ratio
400, 60, 19.0, 22, 400, 0.8636363636363636
401, 60, 56.0, 58, 401, 0.9655172413793104
402, 60, 56.0, 58, 402, 0.9655172413793104
403, 60, 44.0, 50, 403, 0.88
404, 60, 54.0, 56, 404, 0.9642857142857143
405, 60, 57.0, 58, 405, 0.9827586206896551
406, 60, 55.0, 57, 406, 0.9649122807017544
407, 60, 8.0, 12, 407, 0.6666666666666666
408, 60, 51.0, 57, 408, 0.8947368421052632
409, 60, 39.0, 41, 409, 0.9512195121951219
410, 60, 30.0, 34, 410, 0.8823529411764706
411, 60, 47.0, 54, 411, 0.8703703703703703
412, 60, 5.0, 10, 412, 0.5
413, 60, 27.0, 32, 413, 0.84375
414, 60, 43.0, 48, 414, 0.8958333333333334
415, 60, 57.0, 58, 415, 0.9827586206896551
416, 60, 58.0, 58, 416, 1.0
417, 60, 56.0, 58, 417, 0.9655172413793104
418, 60, 53.0, 57, 418, 0.9298245614035088
419, 60, 16.0, 21, 419, 0.7619047619047619
420, 60, 52.0, 57, 420, 0.9122807017543859
421, 60, 20.0, 26, 421, 0.7692307692307693
422, 60, 40.0, 47, 422, 0.851063829787234
423, 60, 41.0, 44, 423, 0.9318181818181818
424, 60, 46.0, 51, 424, 0.9019607843137255
425, 60, 57.0, 58, 425, 0.9827586206896551
426, 60, 22.0, 27, 426, 0.8148148148148148
427, 60, 57.0, 58, 427, 0.9827586206896551
428, 60, 57.0, 57, 428, 1.0
429, 60, 41.0, 44, 429, 0.9318181818181818
430, 60, 15.0, 22, 430, 0.6818181818181818
431, 60, 43.0, 50, 431, 0.86
432, 60, 18.0, 24, 432, 0.75
433, 60, 50.0, 53, 433, 0.9433962264150944
434, 60, 55.0, 57, 434, 0.9649122807017544
435, 60, 38.0, 41, 435, 0.926829268292683
436, 60, 54.0, 57, 436, 0.9473684210526315
437, 60, 57.0, 57, 437, 1.0
438, 60, 48.0, 54, 438, 0.8888888888888888
439, 60, 47.0, 49, 439, 0.9591836734693877
440, 60, 44.0, 47, 440, 0.9361702127659575
441, 60, 44.0, 49, 441, 0.8979591836734694
442, 60, 35.0, 42, 442, 0.8333333333333334
443, 60, 28.0, 37, 443, 0.7567567567567568
444, 60, 54.0, 57, 444, 0.9473684210526315
445, 60, 43.0, 47, 445, 0.9148936170212766
446, 60, 54.0, 58, 446, 0.9310344827586207
447, 60, 42.0, 47, 447, 0.8936170212765957
448, 60, 51.0, 55, 448, 0.9272727272727272
449, 60, 57.0, 58, 449, 0.9827586206896551
450, 60, 43.0, 46, 450, 0.9347826086956522
451, 60, 54.0, 57, 451, 0.9473684210526315
452, 60, 14.0, 18, 452, 0.7777777777777778
453, 60, 2.0, 7, 453, 0.2857142857142857
454, 60, 26.0, 34, 454, 0.7647058823529411
455, 60, 26.0, 34, 455, 0.7647058823529411
456, 60, 48.0, 51, 456, 0.9411764705882353
457, 60, 54.0, 55, 457, 0.9818181818181818
458, 60, 43.0, 47, 458, 0.9148936170212766
459, 60, 50.0, 55, 459, 0.9090909090909091
460, 60, 53.0, 57, 460, 0.9298245614035088
461, 60, 43.0, 51, 461, 0.8431372549019608
462, 60, 55.0, 57, 462, 0.9649122807017544
463, 60, 33.0, 36, 463, 0.9166666666666666
464, 60, 55.0, 57, 464, 0.9649122807017544
465, 60, 9.0, 16, 465, 0.5625
466, 60, 37.0, 40, 466, 0.925
467, 60, 27.0, 31, 467, 0.8709677419354839
468, 60, 35.0, 43, 468, 0.813953488372093
469, 60, 31.0, 36, 469, 0.8611111111111112
470, 60, 27.0, 34, 470, 0.7941176470588235
471, 60, 27.0, 29, 471, 0.9310344827586207
